customer_id,credit_score,credit_history_years,number_of_defaults,last_default_year
C00120,708,23,1,2016.0
C00121,734,2,0,
C00122,755,13,1,2017.0
C00123,738,1,0,
C00124,733,8,0,
C00125,520,18,5,2024.0
C00126,748,9,0,
C00127,763,7,1,2021.0
C00128,751,10,1,2019.0
C00129,791,21,1,2019.0
C00130,681,22,2,2021.0
C00131,792,6,0,
C00132,650,22,1,2019.0
C00133,705,8,1,2021.0
C00134,382,19,3,2021.0
C00135,677,25,1,2019.0
C00136,632,11,4,2018.0
C00137,691,25,2,2016.0
C00138,315,5,3,2021.0
C00139,725,1,0,
C00140,424,13,2,2020.0
C00141,793,17,1,2015.0
C00142,755,18,1,2021.0
C00143,524,9,4,2024.0
C00144,681,18,1,2024.0
C00145,517,7,2,2019.0
C00146,669,10,2,2019.0
C00147,671,8,1,2020.0
C00148,664,15,1,2019.0
C00149,367,3,2,2022.0
C00150,794,13,1,2024.0
C00151,662,8,2,2022.0
C00152,679,1,1,2020.0
C00153,740,1,0,
C00154,559,7,2,2020.0
C00155,722,8,0,
C00156,718,23,1,2020.0
C00157,396,13,5,2020.0
C00158,651,1,1,2015.0
C00159,790,2,0,
C00160,775,18,1,2020.0
C00161,671,2,1,2018.0
C00162,690,3,1,2022.0
C00163,470,11,4,2017.0
C00164,722,6,0,
C00165,741,2,0,
C00166,795,8,0,
C00167,704,25,0,
C00168,734,19,1,2019.0
C00169,789,5,0,
C00170,783,23,1,2023.0
C00171,762,16,1,2017.0
C00172,792,12,1,2023.0
C00173,721,18,0,
C00174,701,16,1,2020.0
C00175,786,6,1,2023.0
C00176,761,18,0,
C00177,722,20,0,
C00178,800,21,0,
C00179,655,5,2,2022.0
C00180,704,24,0,
C00181,795,6,1,2022.0
C00182,566,19,3,2016.0
C00183,662,17,1,2023.0
C00184,726,3,1,2021.0
C00185,770,19,0,
C00186,749,14,1,2019.0
C00187,730,18,0,
C00188,674,14,1,2018.0
C00189,769,10,1,2022.0
C00190,728,11,1,2016.0
C00191,585,12,5,2015.0
C00192,664,25,1,2023.0
C00193,721,24,0,
C00194,717,17,1,2024.0
C00195,696,5,2,2021.0
C00196,701,1,0,
C00197,383,15,3,2015.0
C00198,519,24,5,2018.0
C00199,537,8,2,2019.0
C00200,713,23,0,
C00201,795,23,0,
C00202,710,14,0,
C00203,385,12,2,2022.0
C00204,389,19,3,2018.0
C00205,763,2,1,2016.0
C00206,656,16,1,2017.0
C00207,756,2,1,2019.0
C00208,621,9,2,2019.0
C00209,737,15,1,2021.0
C00210,750,15,0,
C00211,750,1,1,2019.0
C00212,614,20,3,2020.0
C00213,679,12,2,2019.0
C00214,471,12,4,2021.0
C00215,726,6,1,2018.0
C00216,783,24,0,
C00217,459,11,4,2015.0
C00218,629,13,2,2016.0
C00219,732,3,0,
C00220,789,15,1,2022.0
C00221,742,20,1,2023.0
C00222,770,9,0,
C00223,713,11,0,
C00224,713,14,0,
C00225,788,12,0,
C00226,696,25,2,2016.0
C00227,706,1,1,2016.0
C00228,797,23,1,2024.0
C00229,712,24,0,
C00230,708,4,1,2021.0
C00231,711,8,1,2018.0
C00232,327,1,5,2018.0
C00233,377,9,4,2020.0
C00234,703,25,1,2022.0
C00235,683,9,1,2015.0
C00236,665,3,2,2019.0
C00237,701,2,0,
C00238,693,22,2,2018.0
C00239,722,22,0,
C00240,510,13,5,2021.0
C00241,710,2,1,2017.0
C00242,723,21,0,
C00243,588,15,2,2017.0
C00244,660,3,2,2022.0
C00245,771,17,1,2018.0
C00246,731,2,1,2018.0
C00247,691,25,2,2017.0
C00248,661,20,2,2021.0
C00249,737,6,0,
C00250,371,21,4,2023.0
C00251,683,24,2,2015.0
C00252,656,6,1,2020.0
C00253,729,10,0,
C00254,680,21,1,2019.0
C00255,760,19,0,
C00256,768,8,1,2017.0
C00257,799,19,0,
C00258,727,1,1,2015.0
C00259,731,21,1,2019.0
C00260,379,10,5,2017.0
C00261,656,23,1,2021.0
C00262,783,20,1,2017.0
C00263,424,25,5,2015.0
C00264,780,4,0,
C00265,753,16,0,
C00266,720,11,1,2022.0
C00267,765,20,1,2022.0
C00268,730,16,1,2015.0
C00269,715,23,1,2017.0
C00270,687,3,1,2022.0
C00271,749,19,1,2023.0
C00272,685,8,2,2020.0
C00273,698,1,1,2020.0
C00274,462,21,4,2022.0
C00275,764,2,0,
C00276,714,1,0,
C00277,794,14,0,
C00278,793,4,0,
C00279,699,5,2,2015.0
C00280,710,15,1,2016.0
C00281,707,8,1,2016.0
C00282,668,11,1,2020.0
C00283,443,18,3,2016.0
C00284,463,12,4,2024.0
C00285,736,15,0,
C00286,784,6,1,2024.0
C00287,508,16,4,2016.0
C00288,714,12,1,2020.0
C00289,405,21,5,2016.0
C00290,773,4,0,
C00291,763,17,1,2017.0
C00292,302,25,4,2017.0
C00293,683,20,2,2021.0
C00294,709,9,0,
C00295,529,5,5,2017.0
C00296,677,8,1,2019.0
C00297,360,24,3,2022.0
C00298,653,18,1,2019.0
C00299,753,10,1,2022.0
C00300,750,16,1,2020.0
C00301,398,19,5,2023.0
C00302,657,8,2,2023.0
C00303,791,13,1,2024.0
C00304,563,14,3,2024.0
C00305,787,13,0,
C00306,371,4,2,2024.0
C00307,773,10,0,
C00308,702,11,1,2020.0
C00309,688,4,2,2019.0
C00310,701,22,0,
C00311,692,11,2,2017.0
C00312,760,9,1,2017.0
C00313,764,1,1,2019.0
C00314,687,17,1,2021.0
C00315,798,17,0,
C00316,768,7,1,2019.0
C00317,675,3,1,2021.0
C00318,412,22,3,2020.0
C00319,380,19,5,2023.0
C00320,704,18,0,
C00321,725,2,0,
C00322,696,12,2,2023.0
C00323,306,18,4,2021.0
C00324,655,22,2,2018.0
C00325,729,17,1,2018.0
C00326,642,17,2,2020.0
C00327,729,21,1,2017.0
C00328,348,19,5,2020.0
C00329,739,2,1,2018.0
C00330,719,1,0,
C00331,685,22,1,2019.0
C00332,669,22,2,2023.0
C00333,733,18,0,
C00334,659,7,2,2017.0
C00335,792,14,0,
C00336,786,13,1,2023.0
C00337,434,24,2,2023.0
C00338,769,14,1,2020.0
C00339,471,23,2,2017.0
C00340,749,14,0,
C00341,798,8,1,2016.0
C00342,685,10,1,2024.0
C00343,759,1,0,
C00344,686,19,1,2017.0
C00345,700,5,1,2016.0
C00346,612,22,5,2017.0
C00347,723,20,1,2016.0
C00348,690,2,1,2020.0
C00349,757,7,0,
C00350,734,21,0,
C00351,721,4,1,2016.0
C00352,735,5,1,2017.0
C00353,547,14,2,2015.0
C00354,579,19,2,2024.0
C00355,719,11,1,2023.0
C00356,762,1,0,
C00357,781,1,0,
C00358,601,1,4,2015.0
C00359,670,6,1,2015.0
C00360,797,2,1,2022.0
C00361,724,7,0,
C00362,674,2,1,2016.0
C00363,755,19,0,
C00364,768,25,0,
C00365,793,18,1,2018.0
C00366,640,24,5,2017.0
C00367,799,13,1,2022.0
C00368,675,24,1,2021.0
C00369,769,11,1,2021.0
C00370,751,4,0,
C00371,777,14,0,
C00372,678,7,2,2022.0
C00373,729,11,0,
C00374,738,10,0,
C00375,792,25,0,
C00376,762,5,0,
C00377,725,17,0,
C00378,793,16,0,
C00379,706,4,1,2015.0
C00380,721,16,0,
C00381,519,22,3,2019.0
C00382,687,20,1,2024.0
C00383,556,19,5,2015.0
C00384,699,4,1,2019.0
C00385,483,8,2,2016.0
C00386,372,18,3,2016.0
C00387,799,4,0,
C00388,738,6,0,
C00389,741,17,0,
C00390,744,25,0,
C00391,717,10,0,
C00392,731,17,1,2021.0
C00393,765,15,1,2024.0
C00394,800,13,1,2023.0
C00395,689,6,2,2024.0
C00396,461,23,5,2023.0
C00397,656,14,2,2024.0
C00398,701,12,0,
C00399,759,18,0,
C00400,673,21,2,2024.0
C00401,764,12,1,2021.0
C00402,691,21,1,2018.0
C00403,697,10,2,2021.0
C00404,746,11,0,
C00405,692,3,1,2018.0
C00406,665,17,2,2015.0
C00407,678,9,1,2022.0
C00408,634,20,4,2018.0
C00409,791,9,0,
C00410,711,23,0,
C00411,758,22,0,
C00412,706,13,0,
C00413,783,3,0,
C00414,699,7,1,2021.0
C00415,725,10,1,2019.0
C00416,716,3,0,
C00417,698,5,1,2022.0
C00418,765,23,0,
C00419,775,9,1,2020.0
C00420,693,9,2,2023.0
C00421,793,5,0,
C00422,307,22,2,2020.0
C00423,767,12,1,2019.0
C00424,734,12,1,2020.0
C00425,783,6,0,
C00426,692,20,2,2023.0
C00427,772,15,1,2022.0
C00428,736,8,1,2020.0
C00429,714,23,1,2021.0
C00430,743,1,0,
C00431,666,11,1,2017.0
C00432,772,14,1,2019.0
C00433,570,19,5,2016.0
C00434,753,4,1,2024.0
C00435,694,5,1,2020.0
C00436,661,19,2,2022.0
C00437,768,14,0,
C00438,650,4,2,2021.0
C00439,782,4,0,
C00440,778,22,0,
C00441,678,12,1,2020.0
C00442,675,2,1,2021.0
C00443,758,24,1,2022.0
C00444,729,11,1,2022.0
C00445,770,17,1,2017.0
C00446,474,20,4,2021.0
C00447,707,1,0,
C00448,705,10,0,
C00449,751,12,0,
C00450,705,8,0,
C00451,697,10,1,2020.0
C00452,336,17,5,2017.0
C00453,679,18,2,2015.0
C00454,654,21,1,2016.0
C00455,708,3,1,2024.0
C00456,722,2,1,2023.0
C00457,763,2,1,2018.0
C00458,668,19,2,2015.0
C00459,767,1,1,2020.0
C00460,667,23,2,2017.0
C00461,715,24,0,
C00462,676,11,1,2016.0
C00463,697,10,2,2019.0
C00464,750,21,1,2016.0
C00465,674,15,2,2019.0
C00466,652,6,2,2020.0
C00467,651,15,2,2017.0
C00468,765,9,0,
C00469,313,7,5,2021.0
C00470,742,10,0,
C00471,753,5,0,
C00472,351,6,3,2016.0
C00473,589,16,5,2016.0
C00474,698,6,1,2024.0
C00475,786,25,0,
C00476,559,19,4,2022.0
C00477,666,16,2,2018.0
C00478,437,24,3,2019.0
C00479,700,24,1,2015.0
C00480,778,1,1,2023.0
C00481,660,2,2,2016.0
C00482,709,9,0,
C00483,775,24,0,
C00484,650,12,1,2022.0
C00485,551,19,3,2018.0
C00486,701,18,1,2022.0
C00487,772,14,1,2021.0
C00488,665,8,2,2022.0
C00489,691,1,1,2016.0
C00490,565,24,5,2016.0
C00491,706,11,0,
C00492,788,22,0,
C00493,750,3,1,2017.0
C00494,472,2,5,2018.0
C00495,774,19,0,
C00496,726,5,0,
C00497,780,5,0,
C00498,747,21,0,
C00499,763,14,1,2018.0
C00500,340,16,2,2024.0
C00501,793,7,0,
C00502,309,17,2,2022.0
C00503,651,22,2,2021.0
C00504,775,18,1,2016.0
C00505,685,11,2,2020.0
C00506,750,2,1,2023.0
C00507,689,24,2,2021.0
C00508,766,21,1,2023.0
C00509,764,17,0,
C00510,691,6,2,2020.0
C00511,670,15,2,2020.0
C00512,580,20,5,2017.0
C00513,788,25,0,
C00514,790,11,1,2020.0
C00515,676,25,1,2022.0
C00516,724,20,1,2019.0
C00517,745,21,1,2018.0
C00518,700,20,0,
C00519,649,18,3,2016.0
C00520,672,8,1,2017.0
C00521,738,16,0,
C00522,776,15,1,2021.0
C00523,705,1,1,2020.0
C00524,435,18,3,2024.0
C00525,779,20,0,
C00526,658,4,1,2016.0
C00527,765,17,1,2015.0
C00528,677,9,1,2016.0
C00529,366,11,5,2017.0
C00530,510,19,4,2019.0
C00531,669,12,2,2021.0
C00532,724,5,0,
C00533,756,5,1,2017.0
C00534,701,2,0,
C00535,689,11,2,2022.0
C00536,741,20,1,2015.0
C00537,759,5,1,2020.0
C00538,718,19,0,
C00539,698,24,2,2017.0
C00540,683,4,1,2024.0
C00541,479,17,2,2024.0
C00542,463,22,2,2024.0
C00543,760,18,0,
C00544,771,13,1,2021.0
C00545,668,22,2,2019.0
C00546,633,18,3,2020.0
C00547,795,4,1,2018.0
C00548,773,21,1,2016.0
C00549,581,1,3,2021.0
C00550,765,18,0,
C00551,748,4,0,
C00552,650,16,2,2016.0
C00553,757,23,1,2022.0
C00554,733,8,0,
C00555,655,1,2,2021.0
C00556,766,23,0,
C00557,784,8,0,
C00558,767,16,1,2019.0
C00559,670,3,2,2017.0
C00560,798,24,0,
C00561,780,6,1,2022.0
C00562,671,20,1,2015.0
C00563,405,17,5,2017.0
C00564,780,7,0,
C00565,680,8,2,2022.0
C00566,762,22,0,
C00567,733,5,1,2015.0
C00568,800,25,1,2019.0
C00569,771,21,0,
C00570,749,25,0,
C00571,668,14,2,2022.0
C00572,740,6,1,2018.0
C00573,768,23,0,
C00574,757,8,1,2016.0
C00575,783,19,0,
C00576,675,24,1,2015.0
C00577,514,10,3,2019.0
C00578,764,15,1,2019.0
C00579,538,3,3,2023.0
C00580,706,3,0,
C00581,781,14,0,
C00582,794,3,1,2019.0
C00583,656,9,2,2023.0
C00584,743,12,1,2016.0
C00585,650,2,2,2024.0
C00586,750,20,0,
C00587,683,21,2,2020.0
C00588,736,6,1,2020.0
C00589,653,22,2,2023.0
C00590,746,9,0,
C00591,478,18,3,2021.0
C00592,762,5,0,
C00593,750,24,1,2015.0
C00594,716,14,0,
C00595,764,4,1,2018.0
C00596,733,18,0,
C00597,736,13,1,2019.0
C00598,694,22,2,2019.0
C00599,740,18,1,2017.0
C00600,718,15,0,
C00601,792,8,0,
C00602,705,2,1,2022.0
C00603,663,3,2,2019.0
C00604,653,25,1,2019.0
C00605,787,24,0,
C00606,758,8,1,2016.0
C00607,739,23,0,
C00608,713,11,1,2023.0
C00609,688,7,1,2016.0
C00610,792,9,0,
C00611,732,6,1,2020.0
C00612,711,25,1,2019.0
C00613,657,8,2,2017.0
C00614,784,7,0,
C00615,739,1,1,2024.0
C00616,715,7,0,
C00617,775,15,1,2019.0
C00618,728,6,1,2021.0
C00619,673,7,2,2022.0
C00620,641,4,3,2023.0
C00621,716,24,1,2021.0
C00622,334,21,2,2023.0
C00623,688,3,2,2019.0
C00624,412,24,4,2019.0
C00625,735,12,0,
C00626,720,1,0,
C00627,651,8,2,2020.0
C00628,723,18,0,
C00629,780,25,0,
C00630,746,25,1,2017.0
C00631,728,7,1,2024.0
C00632,682,11,2,2018.0
C00633,691,6,1,2020.0
C00634,652,9,2,2018.0
C00635,686,12,2,2023.0
C00636,422,10,3,2019.0
C00637,653,19,2,2020.0
C00638,748,5,0,
C00639,795,22,1,2020.0
C00640,681,7,1,2023.0
C00641,780,12,0,
C00642,740,1,1,2020.0
C00643,800,13,0,
C00644,797,20,0,
C00645,783,12,0,
C00646,668,20,1,2024.0
C00647,626,12,5,2015.0
C00648,440,20,2,2021.0
C00649,770,17,0,
C00650,681,7,1,2021.0
C00651,789,22,1,2021.0
C00652,754,5,1,2024.0
C00653,715,1,0,
C00654,778,7,0,
C00655,784,4,1,2017.0
C00656,734,17,0,
C00657,755,9,0,
C00658,782,15,1,2015.0
C00659,700,5,1,2016.0
C00660,315,4,5,2015.0
C00661,655,9,1,2020.0
C00662,773,17,0,
C00663,723,24,1,2023.0
C00664,681,1,2,2018.0
C00665,742,20,0,
C00666,328,18,3,2021.0
C00667,606,10,4,2015.0
C00668,698,10,1,2016.0
C00669,702,4,1,2020.0
C00670,737,17,1,2019.0
C00671,689,23,2,2018.0
C00672,766,22,0,
C00673,525,4,2,2018.0
C00674,695,16,1,2019.0
C00675,730,18,0,
C00676,732,13,0,
C00677,737,1,1,2019.0
C00678,727,4,1,2021.0
C00679,737,24,0,
C00680,533,12,2,2020.0
C00681,739,14,1,2018.0
C00682,771,9,0,
C00683,749,19,0,
C00684,665,18,2,2021.0
C00685,679,24,1,2021.0
C00686,681,9,1,2018.0
C00687,773,10,1,2021.0
C00688,755,9,1,2016.0
C00689,725,2,1,2021.0
C00690,686,3,1,2020.0
C00691,777,8,1,2015.0
C00692,741,9,0,
C00693,794,24,0,
C00694,728,16,0,
C00695,688,9,2,2024.0
C00696,745,2,0,
C00697,794,4,1,2019.0
C00698,794,10,1,2018.0
C00699,740,5,1,2015.0
C00700,719,14,0,
C00701,732,18,1,2015.0
C00702,654,7,1,2015.0
C00703,740,17,0,
C00704,702,18,0,
C00705,797,11,1,2020.0
C00706,355,1,4,2020.0
C00707,746,21,1,2023.0
C00708,785,11,1,2020.0
C00709,782,13,0,
C00710,761,2,0,
C00711,762,7,1,2020.0
C00712,702,2,1,2023.0
C00713,581,18,2,2022.0
C00714,740,21,1,2019.0
C00715,751,11,1,2022.0
C00716,694,21,1,2015.0
C00717,715,16,0,
C00718,756,15,0,
C00719,440,21,5,2017.0
C00720,725,9,1,2020.0
C00721,668,19,2,2021.0
C00722,750,6,1,2021.0
C00723,798,5,1,2020.0
C00724,708,15,0,
C00725,727,11,0,
C00726,775,15,1,2017.0
C00727,489,5,2,2016.0
C00728,760,12,0,
C00729,679,9,2,2020.0
C00730,793,3,0,
C00731,708,2,0,
C00732,686,15,2,2020.0
C00733,752,13,0,
C00734,798,23,1,2019.0
C00735,758,1,0,
C00736,710,24,0,
C00737,769,18,1,2020.0
C00738,722,25,1,2024.0
C00739,714,16,0,
C00740,649,17,4,2016.0
C00741,743,22,1,2021.0
C00742,786,22,1,2016.0
C00743,730,11,1,2021.0
C00744,729,15,0,
C00745,748,21,1,2023.0
C00746,800,14,1,2018.0
C00747,693,11,1,2022.0
C00748,648,17,2,2017.0
C00749,759,15,0,
C00750,757,2,0,
C00751,718,14,0,
C00752,674,25,1,2023.0
C00753,674,18,2,2021.0
C00754,737,4,0,
C00755,673,24,1,2015.0
C00756,796,3,1,2023.0
C00757,755,14,0,
C00758,724,18,1,2018.0
C00759,716,4,1,2019.0
C00760,733,20,0,
C00761,697,21,1,2018.0
C00762,366,22,3,2020.0
C00763,458,22,2,2022.0
C00764,746,13,1,2019.0
C00765,403,10,3,2018.0
C00766,724,7,0,
C00767,661,13,2,2023.0
C00768,698,6,1,2019.0
C00769,703,12,1,2022.0
C00770,706,5,1,2017.0
C00771,748,22,0,
C00772,727,13,1,2017.0
C00773,784,23,1,2021.0
C00774,755,13,1,2018.0
C00775,675,21,1,2019.0
C00776,665,12,1,2016.0
C00777,765,6,0,
C00778,592,5,3,2024.0
C00779,774,20,1,2019.0
C00780,680,3,1,2024.0
C00781,537,21,5,2018.0
C00782,741,14,0,
C00783,781,20,0,
C00784,754,24,0,
C00785,524,17,2,2021.0
C00786,712,4,1,2016.0
C00787,700,17,0,
C00788,703,7,1,2024.0
C00789,745,11,1,2015.0
C00790,398,8,3,2015.0
C00791,738,1,0,
C00792,769,9,1,2021.0
C00793,716,21,0,
C00794,437,3,4,2018.0
C00795,780,16,0,
C00796,778,11,0,
C00797,788,9,0,
C00798,726,17,1,2016.0
C00799,731,21,0,
C00800,695,10,2,2021.0
C00801,688,13,2,2021.0
C00802,767,2,0,
C00803,743,16,0,
C00804,782,22,1,2021.0
C00805,757,25,0,
C00806,790,4,1,2015.0
C00807,714,6,1,2019.0
C00808,794,16,0,
C00809,694,24,2,2019.0
C00810,772,7,0,
C00811,704,22,1,2023.0
C00812,358,10,2,2023.0
C00813,723,15,1,2020.0
C00814,745,16,0,
C00815,675,6,2,2015.0
C00816,741,21,1,2024.0
C00817,654,9,1,2022.0
C00818,688,15,2,2023.0
C00819,780,20,0,
C00820,749,11,1,2021.0
C00821,705,5,1,2017.0
C00822,522,25,5,2024.0
C00823,708,16,0,
C00824,798,20,1,2015.0
C00825,467,24,4,2021.0
C00826,762,10,1,2024.0
C00827,683,15,2,2023.0
C00828,756,24,0,
C00829,774,1,0,
C00830,693,9,1,2023.0
C00831,754,16,0,
C00832,753,20,0,
C00833,685,2,1,2018.0
C00834,719,25,1,2017.0
C00835,761,11,1,2022.0
C00836,669,21,1,2022.0
C00837,798,11,1,2022.0
C00838,683,20,2,2020.0
C00839,797,1,0,
C00840,448,19,3,2022.0
C00841,670,7,2,2024.0
C00842,785,8,0,
C00843,759,4,1,2022.0
C00844,753,14,0,
C00845,760,18,0,
C00846,789,14,1,2022.0
C00847,712,4,0,
C00848,658,22,1,2021.0
C00849,488,4,2,2015.0
C00850,655,21,2,2021.0
C00851,798,20,1,2024.0
C00852,701,18,1,2015.0
C00853,715,14,0,
C00854,789,6,1,2024.0
C00855,732,11,0,
C00856,537,5,2,2018.0
C00857,666,10,1,2019.0
C00858,791,3,1,2022.0
C00859,791,13,1,2022.0
C00860,466,19,5,2020.0
C00861,716,19,1,2023.0
C00862,328,10,4,2018.0
C00863,664,5,2,2023.0
C00864,732,6,1,2021.0
C00865,475,2,3,2024.0
C00866,681,25,2,2024.0
C00867,726,4,0,
C00868,787,17,1,2019.0
C00869,650,6,2,2019.0
C00870,558,2,5,2019.0
C00871,744,24,0,
C00872,756,21,1,2016.0
C00873,730,2,0,
C00874,661,10,2,2023.0
C00875,697,3,1,2023.0
C00876,765,7,1,2024.0
C00877,663,17,1,2020.0
C00878,692,21,2,2021.0
C00879,750,19,0,
C00880,393,24,2,2024.0
C00881,765,22,1,2018.0
C00882,689,8,1,2023.0
C00883,798,10,0,
C00884,705,16,0,
C00885,765,11,0,
C00886,688,16,2,2020.0
C00887,728,4,1,2015.0
C00888,733,7,0,
C00889,698,7,2,2019.0
C00890,761,2,0,
C00891,712,23,0,
C00892,741,20,1,2022.0
C00893,766,18,1,2022.0
C00894,790,11,0,
C00895,755,3,0,
C00896,705,10,1,2019.0
C00897,497,20,2,2024.0
C00898,723,5,1,2016.0
C00899,357,9,5,2019.0
C00900,650,10,2,2018.0
C00901,723,15,1,2022.0
C00902,749,15,0,
C00903,757,8,1,2019.0
C00904,733,5,1,2017.0
C00905,483,22,4,2017.0
C00906,753,19,1,2017.0
C00907,738,16,0,
C00908,766,14,0,
C00909,686,25,2,2019.0
C00910,782,13,0,
C00911,650,22,1,2022.0
C00912,634,13,3,2015.0
C00913,690,18,2,2023.0
C00914,780,8,0,
C00915,751,16,0,
C00916,669,13,1,2016.0
C00917,795,1,1,2024.0
C00918,704,23,1,2017.0
C00919,777,19,0,
C00920,750,18,0,
C00921,378,10,4,2024.0
C00922,707,11,1,2020.0
C00923,762,4,1,2015.0
C00924,726,19,0,
C00925,788,7,0,
C00926,724,11,0,
C00927,764,9,0,
C00928,777,21,1,2019.0
C00929,774,9,1,2024.0
C00930,754,8,0,
C00931,674,5,1,2018.0
C00932,520,11,4,2023.0
C00933,405,2,2,2022.0
C00934,739,24,0,
C00935,731,14,0,
C00936,739,19,1,2021.0
C00937,698,7,1,2022.0
C00938,768,25,1,2023.0
C00939,683,23,1,2023.0
C00940,732,13,1,2019.0
C00941,777,17,1,2015.0
C00942,731,11,1,2023.0
C00943,676,19,2,2015.0
C00944,632,24,5,2021.0
C00945,784,6,1,2021.0
C00946,773,12,0,
C00947,704,22,0,
C00948,727,25,1,2019.0
C00949,502,3,4,2021.0
C00950,717,9,0,
C00951,773,24,0,
C00952,724,15,1,2022.0
C00953,795,9,0,
C00954,766,18,1,2020.0
C00955,781,15,0,
C00956,765,25,1,2024.0
C00957,795,3,0,
C00958,717,2,0,
C00959,679,25,2,2023.0
C00960,676,12,2,2021.0
C00961,797,24,0,
C00962,552,21,3,2018.0
C00963,371,24,2,2024.0
C00964,691,2,2,2022.0
C00965,527,17,2,2019.0
C00966,735,20,1,2022.0
C00967,706,13,1,2018.0
C00968,497,12,3,2017.0
C00969,664,17,1,2018.0
C00970,614,8,3,2023.0
C00971,731,9,1,2020.0
C00972,709,2,1,2016.0
C00973,670,16,2,2019.0
C00974,718,3,1,2024.0
C00975,719,1,1,2021.0
C00976,754,21,1,2024.0
C00977,764,7,1,2015.0
C00978,661,10,2,2018.0
C00979,457,6,2,2021.0
C00980,549,21,2,2017.0
C00981,684,3,1,2020.0
C00982,782,7,1,2024.0
C00983,687,9,2,2024.0
C00984,576,6,4,2016.0
C00985,417,22,4,2024.0
C00986,796,15,1,2023.0
C00987,787,15,0,
C00988,437,3,5,2022.0
C00989,749,5,1,2020.0
C00990,748,10,0,
C00991,752,22,0,
C00992,672,7,1,2022.0
C00993,784,10,0,
C00994,619,14,2,2022.0
C00995,667,11,2,2021.0
C00996,656,15,1,2017.0
C00997,729,20,1,2024.0
C00998,717,19,1,2022.0
C00999,712,3,0,
C01000,652,8,1,2018.0
C01001,655,12,2,2016.0
C01002,511,6,3,2023.0
C01003,799,21,0,
C01004,769,22,0,
C01005,684,16,1,2015.0
C01006,751,7,0,
C01007,456,5,4,2018.0
C01008,770,12,0,
C01009,790,25,0,
C01010,759,4,1,2017.0
C01011,758,15,1,2022.0
C01012,650,7,1,2018.0
