customer_id,pre_approved_personal_loan_limit,interest_rate,max_tenure_months,offer_validity_days
C00131,445456,10.75,12,54
C00132,1000000,16.83,48,35
C00133,1000000,12.38,12,22
C00134,1000000,13.16,60,55
C00135,954420,12.43,60,60
C00136,1000000,10.0,36,55
C00137,615330,14.02,36,43
C00138,1000000,11.7,60,22
C00139,1000000,15.36,24,22
C00140,1000000,14.01,36,22
C00141,1000000,11.18,36,48
C00142,398475,11.06,12,26
C00143,1000000,15.59,60,52
C00144,636180,10.0,12,36
C00145,1000000,10.0,24,37
C00146,884400,11.74,36,19
C00147,640413,11.57,48,52
C00148,1000000,13.67,12,45
C00149,486846,15.15,12,38
C00150,336520,16.16,36,41
C00151,1000000,12.16,12,21
C00152,852780,15.87,24,47
C00153,687696,11.06,36,54
C00154,768990,14.44,12,27
C00155,1000000,12.16,12,19
C00156,1000000,15.93,60,47
C00157,741356,10.0,48,56
C00158,639492,15.48,12,29
C00159,1000000,14.16,12,38
C00160,511030,16.77,24,26
C00161,1000000,14.72,60,58
C00162,822172,13.54,36,57
C00163,891450,12.13,48,24
C00164,747180,14.16,48,50
C00165,607000,15.28,60,32
C00166,993375,11.49,60,26
C00167,661089,14.42,48,51
C00168,965440,11.04,36,48
C00169,623760,10.0,36,24
C00170,1000000,10.01,24,18
C00171,774624,10.0,60,34
C00172,1000000,11.01,12,18
C00173,1000000,15.02,12,35
C00174,961752,14.03,24,18
C00175,1000000,10.0,60,17
C00176,1000000,10.8,48,40
C00177,1000000,10.0,60,41
C00178,753840,17.05,36,20
C00179,600358,10.74,24,22
C00180,510192,11.39,48,21
C00181,1000000,11.18,24,17
C00182,759976,15.4,48,18
C00183,1000000,10.0,48,46
C00184,1000000,10.0,60,32
C00185,1000000,10.88,24,48
C00186,298070,11.77,60,30
C00187,1000000,11.29,48,49
C00188,905400,17.09,12,32
C00189,578240,10.0,60,15
C00190,1000000,13.88,60,47
C00191,1000000,14.07,12,55
C00192,429170,12.5,36,29
C00193,1000000,14.9,60,37
C00194,937635,12.46,36,19
C00195,1000000,13.61,12,21
C00196,808126,10.02,24,20
C00197,215280,13.62,12,29
C00198,1000000,10.82,24,44
C00199,492354,15.8,24,34
C00200,1000000,15.58,24,52
C00201,1000000,13.38,12,50
C00202,1000000,12.9,48,54
C00203,1000000,11.09,24,49
C00204,891046,10.0,36,42
C00205,1000000,12.22,24,37
C00206,775687,14.78,60,42
C00207,896224,12.81,60,41
C00208,717147,12.75,12,26
C00209,444840,17.54,48,37
C00210,829134,16.7,12,43
C00211,830960,15.38,36,48
C00212,532147,12.04,48,45
C00213,1000000,10.0,24,58
C00214,778935,13.23,48,38
C00215,1000000,14.05,36,52
C00216,1000000,12.22,24,50
C00217,1000000,10.59,24,21
C00218,1000000,12.37,36,38
C00219,1000000,12.03,60,18
C00220,1000000,10.85,48,60
C00221,1000000,10.0,24,32
C00222,1000000,10.44,60,38
C00223,1000000,12.06,12,38
C00224,625302,10.0,60,34
C00225,1000000,10.0,60,33
C00226,747495,15.94,48,22
C00227,1000000,12.04,60,36
C00228,351351,10.26,12,59
C00229,475360,10.0,24,45
C00230,1000000,12.61,48,16
C00231,845468,10.03,12,29
C00232,1000000,10.5,36,53
C00233,1000000,10.89,36,51
C00234,1000000,15.14,60,38
C00235,693837,10.23,48,19
C00236,642880,15.33,36,37
C00237,648882,15.12,60,26
C00238,1000000,10.0,24,22
C00239,988596,15.63,36,39
C00240,257000,11.21,12,50
C00241,1000000,12.85,24,30
C00242,780750,13.15,36,56
C00243,424172,10.0,48,19
C00244,1000000,13.56,36,48
C00245,1000000,10.92,48,34
C00246,421971,14.33,12,25
C00247,547008,13.36,60,21
C00248,864444,10.0,60,41
C00249,1000000,12.05,36,26
C00250,365640,14.2,12,49
C00251,554180,16.27,48,35
C00252,1000000,14.16,24,17
C00253,933015,16.91,12,34
C00254,934479,12.54,48,55
C00255,305640,15.73,48,32
C00256,689962,15.43,48,25
C00257,1000000,16.02,48,40
C00258,429993,15.3,48,40
C00259,448236,11.67,12,25
C00260,1000000,13.63,36,56
C00261,343856,11.61,60,57
C00262,1000000,10.0,12,43
C00263,728200,11.41,48,58
C00264,593037,11.39,48,37
C00265,1000000,14.91,48,20
C00266,757420,11.25,12,15
C00267,1000000,14.02,12,24
C00268,731666,12.3,36,48
C00269,631953,15.67,24,40
C00270,1000000,16.06,24,19
C00271,756560,16.25,24,33
C00272,938184,10.85,24,20
C00273,1000000,12.58,36,55
C00274,812812,15.85,24,41
C00275,610605,16.36,36,17
C00276,1000000,10.43,60,39
C00277,1000000,10.0,48,58
C00278,1000000,11.19,60,43
C00279,782595,16.19,36,30
C00280,1000000,12.08,12,15
C00281,1000000,12.13,12,58
C00282,356560,10.0,12,30
C00283,939851,10.0,36,54
C00284,555816,10.73,48,36
C00285,840141,10.0,60,56
C00286,448713,14.18,24,53
C00287,706392,16.64,36,34
C00288,472520,11.94,48,25
C00289,913094,13.86,36,52
C00290,1000000,10.0,48,35
C00291,1000000,13.32,60,51
C00292,1000000,16.9,48,41
C00293,378608,14.15,12,36
C00294,748944,17.4,12,51
C00295,872625,16.01,12,30
C00296,282607,13.76,60,18
C00297,526890,11.07,24,32
C00298,746505,11.08,60,58
C00299,1000000,13.31,36,26
C00300,1000000,10.0,48,41
C00301,986752,10.0,12,34
C00302,537328,10.61,12,16
C00303,1000000,13.97,24,22
C00304,575000,12.34,36,25
C00305,875910,13.22,48,44
C00306,1000000,17.1,60,22
C00307,743400,15.64,12,33
C00308,369479,11.69,12,17
C00309,442274,17.66,60,40
C00310,1000000,12.38,60,26
C00311,942942,10.0,48,20
C00312,670563,11.37,60,47
C00313,895900,11.55,36,49
C00314,682200,15.93,48,32
C00315,825760,12.37,24,54
C00316,1000000,13.76,36,53
C00317,499707,12.23,12,39
C00318,590463,11.3,36,60
C00319,1000000,14.24,60,36
C00320,959166,16.54,36,39
C00321,1000000,10.75,12,22
C00322,1000000,12.76,12,50
C00323,482944,10.75,48,40
C00324,758744,12.42,24,41
C00325,1000000,10.61,48,33
C00326,319896,10.1,36,60
C00327,301180,12.94,36,31
C00328,970536,13.86,24,32
C00329,1000000,12.39,36,55
C00330,1000000,10.0,60,51
C00331,1000000,10.0,60,51
C00332,1000000,10.28,60,31
C00333,1000000,15.84,24,30
C00334,1000000,10.15,36,48
C00335,1000000,12.28,12,54
C00336,912058,11.17,36,24
C00337,1000000,12.95,12,39
C00338,720104,10.72,24,34
C00339,398167,14.19,60,22
C00340,1000000,14.01,48,56
C00341,900757,10.39,60,57
C00342,354761,15.16,60,20
C00343,1000000,13.9,36,26
C00344,897946,13.73,36,37
C00345,967020,16.88,60,54
C00346,1000000,10.51,48,16
C00347,789510,10.34,48,16
C00348,1000000,16.07,24,50
C00349,497289,10.14,24,23
C00350,262832,14.18,48,22
C00351,654049,12.94,24,50
C00352,635532,14.3,36,48
C00353,1000000,13.98,36,30
C00354,1000000,16.6,60,33
C00355,1000000,14.1,24,45
C00356,1000000,13.46,24,34
C00357,776074,16.16,60,33
C00358,701811,10.51,12,40
C00359,1000000,11.79,36,41
C00360,1000000,15.2,60,34
C00361,1000000,13.41,48,39
C00362,1000000,14.9,60,60
C00363,670432,15.46,24,32
C00364,536568,12.15,60,24
C00365,754032,13.94,48,18
C00366,1000000,13.82,60,28
C00367,412010,10.8,24,58
C00368,412594,14.35,36,46
C00369,663471,11.72,36,36
C00370,1000000,13.99,36,57
C00371,643856,10.07,60,51
C00372,1000000,14.45,36,43
C00373,543448,17.04,48,60
C00374,679030,13.14,48,58
C00375,1000000,15.64,36,47
C00376,1000000,11.58,12,16
C00377,1000000,15.94,60,18
C00378,1000000,11.8,36,51
C00379,714624,11.4,12,58
C00380,1000000,15.76,60,35
C00381,1000000,15.59,48,27
C00382,1000000,12.23,24,15
C00383,367410,16.72,12,56
C00384,1000000,11.54,48,34
C00385,657319,14.86,60,57
C00386,1000000,16.1,60,23
C00387,1000000,11.99,12,53
C00388,1000000,12.82,60,25
C00389,846048,10.38,48,56
C00390,642258,16.05,12,49
C00391,762289,10.0,12,45
C00392,880555,11.25,48,20
C00393,701112,10.75,48,40
C00394,861184,14.77,48,25
C00395,539616,16.71,36,32
C00396,818048,11.09,24,44
C00397,1000000,11.85,36,58
C00398,506040,16.09,24,46
C00399,1000000,15.12,24,16
C00400,463120,11.15,48,17
C00401,936012,10.0,36,17
C00402,882615,16.41,36,19
C00403,1000000,10.76,60,53
C00404,994740,14.14,36,19
C00405,1000000,16.67,48,20
C00406,1000000,10.56,36,31
C00407,1000000,10.44,60,22
C00408,978057,11.15,48,30
C00409,660690,15.81,12,60
C00410,486000,12.48,48,48
C00411,836704,10.64,48,16
C00412,1000000,16.82,48,52
C00413,1000000,15.36,24,33
C00414,1000000,11.94,48,60
C00415,1000000,10.0,12,27
C00416,873408,14.94,36,54
C00417,1000000,13.11,60,46
C00418,405416,12.37,48,46
C00419,977466,13.42,24,16
C00420,780318,11.35,24,30
C00421,1000000,10.0,24,43
C00422,352480,13.66,12,15
C00423,1000000,16.57,12,27
C00424,792708,11.55,60,55
C00425,307560,16.75,48,45
C00426,1000000,14.73,24,33
C00427,1000000,10.67,36,29
C00428,914264,14.03,60,35
C00429,1000000,14.57,24,49
C00430,422304,12.26,36,25
C00431,672308,15.56,48,41
C00432,496695,12.72,48,32
C00433,909528,12.06,12,51
C00434,315931,10.0,48,34
C00435,620608,15.12,12,55
C00436,730702,14.61,24,54
C00437,1000000,11.09,36,50
C00438,905460,10.0,12,29
C00439,691548,13.54,48,57
C00440,1000000,11.43,60,32
C00441,670870,15.64,36,20
C00442,1000000,13.82,36,42
C00443,1000000,12.35,36,49
C00444,1000000,11.98,12,49
C00445,551187,12.49,36,42
C00446,1000000,11.9,12,37
C00447,908790,11.14,48,53
C00448,1000000,10.0,12,39
C00449,663156,14.06,24,56
C00450,1000000,11.98,48,37
C00451,1000000,10.45,24,55
C00452,1000000,12.47,24,42
C00453,1000000,10.0,60,58
C00454,1000000,12.6,12,60
C00455,895020,16.62,48,30
C00456,753376,10.0,48,15
C00457,806962,14.0,12,45
C00458,804150,12.73,24,34
C00459,1000000,13.34,24,27
C00460,1000000,10.45,60,30
C00461,776074,12.9,48,60
C00462,1000000,12.18,12,51
C00463,552213,16.0,24,15
C00464,473032,10.0,36,34
C00465,913888,13.69,60,26
C00466,1000000,13.89,12,19
C00467,1000000,10.29,60,25
C00468,1000000,12.11,36,20
C00469,918220,13.37,48,50
C00470,1000000,15.73,60,19
C00471,666796,13.3,36,60
C00472,828086,11.28,48,16
C00473,690056,10.7,36,25
C00474,1000000,16.61,60,40
C00475,958230,10.0,48,45
C00476,1000000,12.49,24,48
C00477,654929,10.76,48,56
C00478,788102,16.3,12,22
C00479,1000000,10.0,60,30
C00480,735471,12.38,60,53
C00481,527796,16.91,24,43
C00482,1000000,13.42,12,41
C00483,655320,12.3,48,40
C00484,1000000,10.11,12,50
C00485,846184,10.0,24,46
C00486,952248,17.13,36,49
C00487,755010,10.13,48,46
C00488,486243,11.9,24,25
C00489,1000000,11.13,12,18
C00490,601484,16.08,48,35
C00491,1000000,12.9,36,24
C00492,882280,12.17,48,21
C00493,1000000,10.82,36,32
C00494,843656,11.67,36,31
C00495,977620,10.0,60,50
C00496,1000000,15.21,60,46
C00497,599040,15.09,60,27
C00498,810040,13.86,36,25
C00499,684558,10.0,24,55
C00500,1000000,10.17,24,49
C00501,1000000,12.25,48,43
C00502,1000000,13.09,48,27
C00503,1000000,16.17,36,15
C00504,1000000,11.41,48,31
C00505,1000000,10.78,60,59
C00506,557310,16.64,12,56
C00507,489214,16.54,48,48
C00508,593040,11.39,36,16
C00509,853980,11.75,60,47
C00510,1000000,11.55,12,48
C00511,1000000,11.81,36,41
C00512,1000000,10.88,12,30
C00513,648144,16.45,36,39
C00514,1000000,15.28,12,23
C00515,813795,12.48,12,55
C00516,1000000,13.03,36,50
C00517,288624,11.21,24,33
C00518,1000000,14.88,12,42
C00519,516960,15.62,36,37
C00520,1000000,10.73,12,39
C00521,1000000,16.59,12,54
C00522,486296,12.86,12,24
C00523,842560,16.7,60,54
C00524,691448,10.84,24,42
C00525,680295,10.0,12,30
C00526,465552,13.9,48,25
C00527,1000000,13.99,24,53
C00528,698310,10.86,60,21
C00529,991550,10.44,48,43
C00530,1000000,11.81,24,49
C00531,944559,12.92,24,35
C00532,1000000,13.54,60,47
C00533,938610,14.75,24,34
C00534,1000000,13.16,60,30
C00535,552069,13.8,36,23
C00536,501606,17.41,36,44
C00537,1000000,13.94,24,50
C00538,1000000,12.82,60,28
C00539,554232,15.47,60,38
C00540,1000000,12.69,24,48
C00541,741624,14.35,36,23
C00542,626211,10.3,36,36
C00543,961831,12.28,60,46
C00544,419960,16.03,36,50
C00545,1000000,15.17,60,56
C00546,1000000,10.0,12,21
C00547,466380,13.75,36,17
C00548,1000000,13.73,24,51
C00549,1000000,13.37,60,28
C00550,1000000,12.78,12,17
C00551,765285,14.86,36,58
C00552,601845,11.58,48,30
C00553,1000000,13.6,60,43
C00554,705960,11.45,12,52
C00555,938938,10.0,60,33
C00556,532323,15.62,24,26
C00557,311904,11.2,36,34
C00558,1000000,10.0,12,30
C00559,1000000,15.56,48,60
C00560,1000000,12.27,24,21
C00561,718110,14.67,12,30
C00562,1000000,14.94,36,21
C00563,950059,10.0,48,53
C00564,712845,15.7,24,50
C00565,470316,17.21,36,40
C00566,430705,14.9,60,33
C00567,1000000,11.91,24,34
C00568,543968,12.44,24,53
C00569,368599,13.24,60,36
C00570,841332,10.0,36,46
C00571,1000000,16.15,48,52
C00572,413688,16.69,12,47
C00573,761850,13.58,36,21
C00574,719976,16.42,60,35
C00575,971748,13.14,24,40
C00576,1000000,11.17,24,41
C00577,1000000,10.0,12,20
C00578,1000000,11.02,12,15
C00579,735046,10.75,12,36
C00580,820624,10.87,60,28
C00581,578250,15.69,24,32
C00582,856230,14.06,60,25
C00583,1000000,10.79,48,39
C00584,578298,12.15,12,30
C00585,712952,10.0,60,36
C00586,755552,12.66,48,27
C00587,370808,14.5,36,57
C00588,1000000,12.92,12,31
C00589,1000000,13.55,48,51
C00590,1000000,16.1,12,35
C00591,1000000,15.06,12,33
C00592,1000000,10.5,36,40
C00593,406480,13.35,12,28
C00594,526605,16.67,48,40
C00595,1000000,11.45,48,34
C00596,633544,15.58,48,35
C00597,1000000,10.0,24,34
C00598,1000000,10.84,12,30
C00599,810000,10.94,60,20
C00600,1000000,10.0,12,42
C00601,1000000,12.39,24,39
C00602,1000000,10.0,36,16
C00603,725648,16.47,60,34
C00604,1000000,14.59,60,43
C00605,1000000,10.0,48,26
C00606,545974,14.63,24,21
C00607,831216,12.57,48,34
C00608,983910,16.57,48,26
C00609,358566,10.23,12,58
C00610,1000000,11.27,48,20
C00611,1000000,15.76,24,37
C00612,1000000,10.69,36,42
C00613,1000000,14.73,12,35
C00614,1000000,10.0,60,20
C00615,1000000,12.66,12,45
C00616,536760,17.25,60,45
C00617,977956,10.84,60,24
C00618,778767,12.85,24,28
C00619,641680,10.43,36,24
C00620,1000000,15.05,36,34
C00621,1000000,14.28,24,33
C00622,446000,13.62,48,30
C00623,1000000,12.75,12,42
C00624,1000000,16.31,48,50
C00625,916040,12.87,12,47
C00626,1000000,15.94,36,17
C00627,670610,10.0,24,42
C00628,203048,13.76,48,17
C00629,1000000,15.6,12,60
C00630,1000000,10.98,24,46
C00631,492252,11.87,60,53
C00632,842364,12.11,60,59
C00633,951775,14.35,60,60
C00634,1000000,10.16,48,26
C00635,1000000,14.78,36,19
C00636,1000000,13.16,36,38
C00637,1000000,11.32,48,21
C00638,906728,13.29,24,48
C00639,763180,11.38,60,18
C00640,947464,11.83,60,37
C00641,742222,11.44,48,27
C00642,1000000,11.39,36,26
C00643,791434,10.04,60,50
C00644,404680,12.64,12,59
C00645,889304,16.36,48,23
C00646,1000000,10.0,48,50
C00647,809272,10.54,48,18
C00648,267210,13.01,12,39
C00649,607805,11.99,24,45
C00650,791967,14.59,24,28
C00651,1000000,10.53,60,18
C00652,354496,10.0,36,46
C00653,1000000,15.02,60,56
C00654,419232,17.29,60,25
C00655,1000000,13.23,60,44
C00656,972213,10.0,60,17
C00657,1000000,10.13,24,39
C00658,790405,15.62,36,36
C00659,788580,14.4,12,38
C00660,1000000,10.0,36,38
C00661,1000000,10.0,60,56
C00662,1000000,12.38,48,46
C00663,1000000,10.0,36,47
C00664,442656,15.65,24,55
C00665,247374,15.97,12,55
C00666,513064,16.6,24,22
C00667,707140,10.98,36,48
C00668,1000000,10.77,24,49
C00669,1000000,13.49,24,20
C00670,1000000,13.89,60,18
C00671,1000000,11.24,36,26
C00672,957222,12.35,48,32
C00673,963443,13.0,24,59
C00674,1000000,15.78,60,22
C00675,756720,16.53,60,58
C00676,610272,11.3,36,31
C00677,568989,10.58,24,28
C00678,773832,17.07,12,60
C00679,403624,16.91,24,38
C00680,1000000,15.58,60,33
C00681,939135,16.39,48,26
C00682,1000000,11.88,24,48
C00683,300340,16.97,60,39
C00684,963400,12.51,24,35
C00685,1000000,13.77,48,41
C00686,1000000,10.86,48,53
C00687,1000000,16.36,12,29
C00688,702804,13.14,36,53
C00689,1000000,10.99,60,39
C00690,333525,13.46,60,45
C00691,1000000,12.64,36,26
C00692,1000000,10.05,12,56
C00693,456496,15.85,48,23
C00694,572445,17.16,24,55
C00695,678180,10.25,24,35
C00696,873908,14.12,36,46
C00697,1000000,10.0,48,29
C00698,1000000,10.83,48,28
C00699,343211,10.64,36,16
C00700,675390,11.61,12,15
C00701,746802,13.51,24,42
C00702,427300,10.0,24,57
C00703,521523,15.21,24,29
C00704,387968,14.17,60,42
C00705,257841,10.98,60,49
C00706,1000000,13.4,12,39
C00707,1000000,12.01,24,29
C00708,963274,10.87,48,48
C00709,1000000,14.33,12,56
C00710,1000000,13.76,12,59
C00711,473018,15.97,48,23
C00712,899228,12.64,12,27
C00713,730312,14.88,48,46
C00714,1000000,10.0,60,21
C00715,880005,12.07,36,35
C00716,696924,14.96,60,15
C00717,1000000,12.21,48,29
C00718,530000,17.31,48,37
C00719,263010,14.38,24,40
C00720,1000000,11.56,12,32
C00721,1000000,16.35,24,16
C00722,1000000,12.04,48,40
C00723,1000000,10.0,12,29
C00724,480032,16.25,12,21
C00725,538031,12.67,48,27
C00726,672579,15.61,60,32
C00727,903110,15.34,36,46
C00728,1000000,10.0,60,58
C00729,1000000,15.77,60,16
C00730,1000000,15.86,36,33
C00731,1000000,13.16,24,50
C00732,1000000,14.55,24,52
C00733,566796,11.22,60,17
C00734,430880,10.93,36,21
C00735,432970,12.8,12,28
C00736,734786,16.59,36,26
C00737,924105,14.4,60,37
C00738,942539,13.37,12,19
C00739,1000000,10.07,36,34
C00740,1000000,10.27,60,50
C00741,930936,13.07,60,45
C00742,909480,13.47,48,55
C00743,605098,11.23,12,26
C00744,751413,12.41,24,43
C00745,1000000,11.63,24,37
C00746,1000000,12.81,12,22
C00747,625072,11.04,12,44
C00748,1000000,16.52,60,46
C00749,645984,11.47,60,58
C00750,1000000,16.44,48,49
C00751,1000000,16.99,12,44
C00752,375057,13.77,48,36
C00753,1000000,11.05,60,20
C00754,1000000,14.37,24,35
C00755,1000000,10.77,24,37
C00756,576171,10.0,36,24
C00757,424872,10.35,48,43
C00758,1000000,13.92,60,55
C00759,837967,11.08,12,51
C00760,558870,10.74,48,38
C00761,1000000,14.7,24,57
C00762,1000000,15.44,36,33
C00763,1000000,10.02,60,37
C00764,1000000,12.83,12,48
C00765,799224,11.64,24,45
C00766,816101,14.56,24,24
C00767,643900,15.19,36,55
C00768,428593,15.93,48,32
C00769,751366,10.0,36,42
C00770,888687,16.85,12,17
C00771,774264,16.06,60,39
C00772,1000000,11.75,12,58
C00773,1000000,12.1,60,32
C00774,880680,10.87,60,40
C00775,1000000,10.0,12,23
C00776,672516,13.97,48,55
C00777,999680,14.13,48,22
C00778,869390,15.59,48,28
C00779,1000000,15.87,48,26
C00780,776340,11.09,12,33
C00781,824328,13.13,12,56
C00782,737025,10.0,36,20
C00783,1000000,12.35,48,36
C00784,795249,14.37,48,19
C00785,347552,17.1,24,46
C00786,1000000,13.2,60,47
C00787,1000000,10.79,60,42
C00788,471267,14.36,60,20
C00789,1000000,12.05,24,47
C00790,649704,12.71,60,41
C00791,684639,16.13,12,57
C00792,1000000,13.64,60,46
C00793,445848,14.43,24,25
C00794,877968,11.19,60,20
C00795,1000000,10.96,60,45
C00796,564520,10.05,36,16
C00797,490402,14.55,48,26
C00798,1000000,10.72,24,57
C00799,1000000,15.86,36,34
C00800,709940,13.7,12,44
C00801,897900,15.43,60,23
C00802,1000000,12.3,48,53
C00803,836235,11.34,60,36
C00804,766192,15.26,60,26
C00805,341710,13.07,12,31
C00806,785730,10.09,24,38
C00807,490920,15.48,12,21
C00808,1000000,16.48,48,21
C00809,442880,13.07,24,60
C00810,802208,11.65,48,23
C00811,1000000,10.0,48,20
C00812,1000000,16.59,24,48
C00813,623896,13.76,60,37
C00814,1000000,14.1,48,53
C00815,1000000,10.31,24,34
C00816,519688,11.94,12,43
C00817,1000000,16.1,36,40
C00818,1000000,10.0,48,31
C00819,358496,15.26,36,54
C00820,664740,15.35,12,38
C00821,938184,10.86,12,22
C00822,902174,13.92,48,27
C00823,1000000,15.92,24,35
C00824,561696,14.47,12,22
C00825,644130,15.39,60,38
C00826,540384,14.44,12,48
C00827,1000000,16.18,48,20
C00828,646688,16.3,12,59
C00829,1000000,11.89,36,55
C00830,254100,14.36,60,18
C00831,1000000,10.0,36,25
C00832,638136,16.8,36,22
C00833,899590,10.0,48,24
C00834,1000000,16.87,24,28
C00835,1000000,11.76,36,30
C00836,1000000,13.78,24,15
C00837,1000000,11.65,36,24
C00838,785707,12.17,24,34
C00839,428890,15.29,24,32
C00840,930672,11.56,48,47
C00841,495152,15.44,48,24
C00842,1000000,11.8,12,46
C00843,1000000,13.45,60,35
C00844,335384,14.76,12,50
C00845,418432,16.85,36,20
C00846,1000000,14.64,36,22
C00847,988686,13.47,24,20
C00848,394716,12.2,36,22
C00849,1000000,13.88,60,60
C00850,754960,10.35,24,35
C00851,1000000,12.86,48,15
C00852,284490,14.22,12,43
C00853,1000000,13.41,36,41
C00854,929352,11.59,24,47
C00855,1000000,16.26,48,24
C00856,1000000,11.81,60,19
C00857,1000000,14.53,48,41
C00858,532944,15.6,60,17
C00859,998944,13.68,48,24
C00860,333168,17.09,60,38
C00861,534807,10.75,24,23
C00862,324882,16.51,36,40
C00863,763345,10.16,36,57
C00864,455304,14.95,36,35
C00865,1000000,12.32,36,46
C00866,1000000,11.75,48,25
C00867,1000000,14.2,36,26
C00868,1000000,14.08,60,24
C00869,999135,10.18,48,52
C00870,1000000,12.29,48,35
C00871,1000000,13.42,24,21
C00872,1000000,10.0,12,25
C00873,706442,11.5,60,53
C00874,404008,16.2,24,39
C00875,835800,14.41,12,58
C00876,1000000,13.17,48,35
C00877,627300,13.04,48,15
C00878,492504,13.17,36,40
C00879,633654,17.47,12,29
C00880,849760,10.55,24,37
C00881,1000000,10.31,24,20
C00882,619234,16.66,12,40
C00883,717852,13.17,24,58
C00884,501240,14.65,60,38
C00885,1000000,11.68,12,59
C00886,863790,15.08,12,30
C00887,689634,10.0,36,44
C00888,526833,17.23,36,21
C00889,1000000,13.82,24,45
C00890,547750,12.4,24,29
C00891,1000000,16.36,24,51
C00892,1000000,11.94,48,49
C00893,1000000,14.44,60,36
C00894,1000000,10.02,24,38
C00895,501690,11.39,36,17
C00896,1000000,10.66,60,52
C00897,844944,15.14,24,41
C00898,876915,14.18,48,40
C00899,608452,10.0,60,30
C00900,1000000,10.46,12,18
C00901,306864,12.96,60,49
